,bio_group,time_label,scenario,percent_change,sensitivity,sensitivity_negative
2103,seagrass,20 years later,EB-FhTn,-1.6074795068407033,0.06,-0.06
2104,macroalgae,20 years later,JF-FlTs,1.0455245371002952,0.06,-0.06
2105,seagrass,20 years later,JF-FlTs,-0.0176275625969779,0.06,-0.06
2106,macroalgae,20 years later,JF-FlTn,1.1254440414776967,0.06,-0.06
2107,seagrass,20 years later,JF-FlTn,0.0177700567396632,0.06,-0.06
2108,macroalgae,20 years later,JF-FhTs,1.0866485749503774,0.06,-0.06
2109,seagrass,20 years later,JF-FhTs,0.0407218817147114,0.06,-0.06
2110,macroalgae,20 years later,JF-FhTn,1.9317767992097945,0.06,-0.06
2111,seagrass,20 years later,JF-FhTn,-0.0242158853360541,0.06,-0.06
2112,dogfish,spill year,AP-FlTs,-0.0014860655517978,0.0,-0.0
2113,ratfish,spill year,AP-FlTs,-6.882587124890094e-05,0.0,-0.0
2114,sixgill,spill year,AP-FlTs,0.0003509199625528,0.0,-0.0
2115,skates,spill year,AP-FlTs,-0.0011110278117787,0.0004,-0.0004
2116,dogfish,spill year,AP-FlTn,-0.002289605783502,0.0,-0.0
2117,ratfish,spill year,AP-FlTn,0.0002669339093519,0.0,-0.0
2118,sixgill,spill year,AP-FlTn,-0.000343652726531,0.0,-0.0
2119,skates,spill year,AP-FlTn,-0.0007660094335049,0.0004,-0.0004
2120,dogfish,spill year,AP-FhTs,-0.0015163918376837,0.0,-0.0
2121,ratfish,spill year,AP-FhTs,2.5653689830207327e-05,0.0,-0.0
2122,sixgill,spill year,AP-FhTs,-0.0004208070185207,0.0,-0.0
2123,skates,spill year,AP-FhTs,-0.0004733325478623,0.0004,-0.0004
2124,dogfish,spill year,AP-FhTn,-0.0010813008867183,0.0,-0.0
2125,ratfish,spill year,AP-FhTn,-2.8525923079225635e-06,0.0,-0.0
2126,sixgill,spill year,AP-FhTn,-0.0003453375963835,0.0,-0.0
2127,skates,spill year,AP-FhTn,-0.0003721672119239,0.0004,-0.0004
2128,dogfish,spill year,TP-FlTs,-0.0224640372590856,0.0,-0.0
2129,ratfish,spill year,TP-FlTs,0.0094168270998928,0.0,-0.0
2130,sixgill,spill year,TP-FlTs,-0.0029145526826657,0.0,-0.0
2131,skates,spill year,TP-FlTs,-0.0079201467168643,0.0004,-0.0004
2132,dogfish,spill year,TP-FlTn,-0.0233813449049502,0.0,-0.0
2133,ratfish,spill year,TP-FlTn,0.0076365725233018,0.0,-0.0
2134,sixgill,spill year,TP-FlTn,-0.0029572777329789,0.0,-0.0
2135,skates,spill year,TP-FlTn,-0.0073953826447992,0.0004,-0.0004
2136,dogfish,spill year,TP-FhTs,-0.0068231527027229,0.0,-0.0
2137,ratfish,spill year,TP-FhTs,0.0004715120768783,0.0,-0.0
2138,sixgill,spill year,TP-FhTs,-0.0012979741320184,0.0,-0.0
2139,skates,spill year,TP-FhTs,-0.0010834185102681,0.0004,-0.0004
2140,dogfish,spill year,TP-FhTn,-0.0066829793960521,0.0,-0.0
2141,ratfish,spill year,TP-FhTn,0.000759656173539,0.0,-0.0
2142,sixgill,spill year,TP-FhTn,-0.0010624879910703,0.0,-0.0
2143,skates,spill year,TP-FhTn,-0.0021932534823554,0.0004,-0.0004
2144,dogfish,spill year,EB-FlTs,-0.0024343936507875,0.0,-0.0
2145,ratfish,spill year,EB-FlTs,-0.0006012570727986,0.0,-0.0
2146,sixgill,spill year,EB-FlTs,7.149511275450493e-05,0.0,-0.0
2147,skates,spill year,EB-FlTs,-0.001648314273106,0.0004,-0.0004
2148,dogfish,spill year,EB-FlTn,-0.0041936382117069,0.0,-0.0
2149,ratfish,spill year,EB-FlTn,-0.0007381846326792,0.0,-0.0
2150,sixgill,spill year,EB-FlTn,0.0002413327838934,0.0,-0.0
2151,skates,spill year,EB-FlTn,-0.0019648600352839,0.0004,-0.0004
2152,dogfish,spill year,EB-FhTs,-0.0003777512307834,0.0,-0.0
2153,ratfish,spill year,EB-FhTs,-5.050918242432978e-05,0.0,-0.0
2154,sixgill,spill year,EB-FhTs,-0.000210741040264,0.0,-0.0
2155,skates,spill year,EB-FhTs,-0.0002131561333462,0.0004,-0.0004
2156,dogfish,spill year,EB-FhTn,-0.000128754277251,0.0,-0.0
2157,ratfish,spill year,EB-FhTn,-3.5588652000928533e-05,0.0,-0.0
2158,sixgill,spill year,EB-FhTn,-5.1247972405743525e-05,0.0,-0.0
2159,skates,spill year,EB-FhTn,-0.0001115585596866,0.0004,-0.0004
2160,dogfish,spill year,JF-FlTs,-0.0114680123460675,0.0,-0.0
2161,ratfish,spill year,JF-FlTs,0.0081802856070689,0.0,-0.0
2162,sixgill,spill year,JF-FlTs,-0.0038543415708736,0.0,-0.0
2163,skates,spill year,JF-FlTs,-0.0032814738861974,0.0004,-0.0004
2164,dogfish,spill year,JF-FlTn,-0.0086070944243277,0.0,-0.0
2165,ratfish,spill year,JF-FlTn,0.0058048463236826,0.0,-0.0
2166,sixgill,spill year,JF-FlTn,-0.0026216915015475,0.0,-0.0
2167,skates,spill year,JF-FlTn,-0.0035256256906912,0.0004,-0.0004
2168,dogfish,spill year,JF-FhTs,-0.0035121911257751,0.0,-0.0
2169,ratfish,spill year,JF-FhTs,0.0015440251817389,0.0,-0.0
2170,sixgill,spill year,JF-FhTs,-0.0015664240000845,0.0,-0.0
2171,skates,spill year,JF-FhTs,-0.0007027686744109,0.0004,-0.0004
2172,dogfish,spill year,JF-FhTn,-0.0043240478068728,0.0,-0.0
2173,ratfish,spill year,JF-FhTn,0.0010825146671122,0.0,-0.0
2174,sixgill,spill year,JF-FhTn,-0.0020954978415854,0.0,-0.0
2175,skates,spill year,JF-FhTn,-0.0012976609329795,0.0004,-0.0004
